y u w a n t t u s i D 6 b U k	yu want tu si D6 bUk	you want to see the book
l U k D * z 6 b 7 w I T h I z h & t	lUk D*z 6 b7 wIT hIz h&t	look there's a boy with his hat
& n d 6 d O g i	&nd 6 dOgi	and a doggie
y u w a n t t u l U k & t D I s	yu want tu lUk &t DIs	you want to look at this
l U k & t D I s	lUk &t DIs	look at this
h & v 6 d r I N k	h&v 6 drINk	have a drink
o k e n Q	oke nQ	okay now
W A t s D I s	WAts DIs	what's this
W A t s D & t	WAts D&t	what's that
W A t I z I t	WAt Iz It	what is it
l U k k & n y u t e k I t Q t	lUk k&n yu tek It Qt	look can you take it out
t e k I t Q t	tek It Qt	take it out
y u w a n t I t I n	yu want It In	you want it in
p U t D & t a n	pUt D&t an	put that on
D & t	D&t	that
y E s	yEs	yes
o k e	oke	okay
o p ~ I t A p	op~ It Ap	open it up
t e k D 6 d O g i Q t	tek D6 dOgi Qt	take the doggie out
9 T I N k I t w I l k A m Q t	9 TINk It wIl kAm Qt	i think it will come out
l E t s s i	lEts si	let's see
y &	y&	yeah
p U l I t Q t	pUl It Qt	pull it out
W A t s I t	WAts It	what's it
l U k	lUk	look
l U k	lUk	look
W A t s D & t	WAts D&t	what's that
g E t I t	gEt It	get it
g E t I t	gEt It	get it
g E t I t	gEt It	get it
I z D & t f % D 6 d O g i	Iz D&t f% D6 dOgi	is that for the doggie
k & n y u f i d I t t u D 6 d O g i	k&n yu fid It tu D6 dOgi	can you feed it to the doggie
f i d I t	fid It	feed it
p U t I t I n o k e	pUt It In oke	put it in okay
o k e	oke	okay
W A t # y u g 6 n 6 d u	WAt # yu g6n6 du	what are you gonna do
9 l l E t h 3 p l e w I T D I s f % 6 W 9 l	9l lEt h3 ple wIT DIs f% 6 W9l	i'll let her play with this for a while
W A t	WAt	what
W A t	WAt	what
W A t s D I s	WAts DIs	what's this
6 s m 9 l I t h & z 6 s m 9 l	6 sm9l It h&z 6 sm9l	a smile it has a smile
g I v h I m 6 k I s o k e k A m a n	gIv hIm 6 kIs oke kAm an	give him a kiss okay come on
y &	y&	yeah
W A t I z I t 6 b O l	WAt Iz It 6 bOl	what is it a ball
l U k & t D 6 b U k	lUk &t D6 bUk	look at the book
l U k	lUk	look
W A t s D I s	WAts DIs	what's this
W A t s D I s	WAts DIs	what's this
W A t s D & t	WAts D&t	what's that
W A t s D & t	WAts D&t	what's that
D & t	D&t	that
W A t 6 n 9 s d O g i	WAt 6 n9s dOgi	what a nice doggie
y & y &	y& y&	yeah yeah
D I s 6 b A t R f l 9	DIs 6 bAtRfl9	this a butterfly
W A t s D & t	WAts D&t	what's that
W A t s D & t	WAts D&t	what's that
f % m I l k	f% mIlk	for milk
f % m I l k	f% mIlk	for milk
y u d o n t n o W A t D i z T I N z #	yu dont no WAt Diz TINz #	you don't know what these things are
W A t s D & t	WAts D&t	what's that
6 b 6 l u n	6 b6lun	a balloon
k & n y u s e b 6 l u n	k&n yu se b6lun	can you say balloon
W A t d u y u s e	WAt du yu se	what do you say
W A t s D & t	WAts D&t	what's that
W A t I z I t	WAt Iz It	what is it
k & n y u s e k I t i	k&n yu se kIti	can you say kitty
D & t s 6 k I t i	D&ts 6 kIti	that's a kitty
w a n 6 l U k & t 6 n A D R b U k	wan6 lUk &t 6nADR bUk	wanna look at another book
D I s I z 6 t A c I N b U k	DIs Iz 6 tAcIN bUk	this is a touching book
6 b 7	6 b7	a boy
I t s 6 b A n i	Its 6 bAni	it's a bunny
b A n i	bAni	bunny
f i l b A n i	fil bAni	feel bunny
l U k	lUk	look
D * z & l I s	D*z &lIs	there's alice
p i k 6 b u	pik6bu	peekaboo
W A t s I n D 6 h Q s	WAts In D6 hQs	what's in the house
D & t	D&t	that
k & n y u f i d I t t u D 6 d O g i	k&n yu fid It tu D6 dOgi	can you feed it to the doggie
d O g i z h A N g r i	dOgiz hANgri	doggie's hungry
f i d I t t u D 6 d O g i	fid It tu D6 dOgi	feed it to the doggie
9 l o p ~ D 6 d %	9l op~ D6 d%	i'll open the door
D * y u g o	D* yu go	there you go
D *	D*	there
b r A S y ) h *	brAS y) h*	brush your hair
b r A S y ) h *	brAS y) h*	brush your hair
s I t d Q n	sIt dQn	sit down
W 9 d o n t w i t r 9 D I s	W9 dont wi tr9 DIs	why don't we try this
d A z D I s r I N	dAz DIs rIN	does this ring
s e h E l o	se hElo	say hello
h E l o	hElo	hello
D & t s r 9 t	D&ts r9t	that's right
h u z a n D 6 t E l 6 f o n & l I s	huz an D6 tEl6fon &lIs	who's on the telephone alice
h 9	h9	hi
y & h 9	y& h9	yeah hi
h 9 d & d &	h9 d&d&	hi dada
s e h 9 d & d &	se h9 d&d&	say hi dada
h E l o	hElo	hello
h E l o d & d &	hElo d&d&	hello dada
I z I t d & d i a n D 6 f o n	Iz It d&di an D6 fon	is it daddy on the phone
p r E s D 6 b A t ~	prEs D6 bAt~	press the button
D * y u g o	D* yu go	there you go
s e	se	say
h E l o d & d &	hElo d&d&	hello dada
h E l o d & d &	hElo d&d&	hello dada
l E t D 6 b 7 t O k a n D 6 f o n	lEt D6 b7 tOk an D6 fon	let the boy talk on the phone
h E l o & l I s	hElo &lIs	hello alice
h E l o	hElo	hello
& l I s h Q # y u	&lIs hQ # yu	alice how are you
& l I s h Q # y u	&lIs hQ # yu	alice how are you
n a t g 6 n 6 d u I t	nat g6n6 du It	not gonna do it
W A t s I n D *	WAts In D*	what's in there
W A t s I n D *	WAts In D*	what's in there
W A t	WAt	what
l U k	lUk	look
W A t I z I t	WAt Iz It	what is it
k & n y u g E t I t	k&n yu gEt It	can you get it
k & n y u g E t h I m	k&n yu gEt hIm	can you get him
k & n y u g E t h I m	k&n yu gEt hIm	can you get him
h E l o & l I s h E l o	hElo &lIs hElo	hello alice hello
k & n y u g E t h I m	k&n yu gEt hIm	can you get him
p U l D I s A p	pUl DIs Ap	pull this up
9 m s % i 9 m s % i b e b i	9m s%i 9m s%i bebi	i'm sorry i'm sorry baby
9 m s % i 9 d I d ~ t T I N k D & t w U d s k * y u	9m s%i 9 dId~t TINk D&t wUd sk* yu	i'm sorry i didn't think that would scare you
9 d I d ~ t T I N k I t w U d	9 dId~t TINk It wUd	i didn't think it would
h E l o	hElo	hello
9 m s % i 9 s k * d y u 9 m r i l i n 9 s	9m s%i 9 sk*d yu 9m rili n9s	i'm sorry i scared you i'm really nice
y u w a n 6 t A c m i	yu wan6 tAc mi	you wanna touch me
t A c m i	tAc mi	touch me
9 m l o n s M	9m lonsM	i'm lonesome
o k e	oke	okay
9 m s % i & l I s	9m s%i &lIs	i'm sorry alice
9 m s % i	9m s%i	i'm sorry
9 l p U t I t 6 w e	9l pUt It 6we	i'll put it away
g U d b 9	gUd b9	good bye
I t s 6 w e I t s 6 w e	Its 6we Its 6we	it's away it's away
W A t k & n y u d u w I T D I s	WAt k&n yu du wIT DIs	what can you do with this
W A t s D I s	WAts DIs	what's this
b l a k	blak	block
b l a k	blak	block
I t s 6 w e	Its 6we	it's away
I t s 6 w e	Its 6we	it's away
l U k I t s o v R h (	lUk Its ovR h(	look it's over here
I t s o v R h (	Its ovR h(	it's over here
h E l o	hElo	hello
I t s 6 w e	Its 6we	it's away
l U k	lUk	look
